tag_name,audience_count,provider,,
RTL NL - Gender & Age - Female 20-34 [1st & 3rd Party - Extend],535354652,lotame,,
RTL NL - Gender & Age - Male 20-34 [1st & 3rd Party - Extend],518099449,lotame,,
RTL NL - Gender & Age - Female 20-34 [1st & 3rd Party - Extend],504804992,lotame,,
RTL NL - Gender & Age - Male 20-34 [1st & 3rd Party - Extend],490592137,lotame,,
A21+ (NBCU),396255071,adobe,,
Ad Sales_1st Party Debt & Loan Interest,374808792,krux,,
A21+ (NBCU),366594930,adobe,,
Ad Sales_1st Party Debt & Loan Interest,351833074,krux,,
Blend_OTS_WM_A 18+,315045440,krux,,
Blend_OTS_WM_A 21+,310967665,krux,,
Blend_OTS_WM_A 35+,309674860,krux,,
Blend_OTS_WM_A 25+,308758073,krux,,
Blend_OTS_WM_A 18+,292833962,krux,,
Blend_OTS_WM_A 21+,288941741,krux,,
Blend_OTS_WM_A 35+,287878845,krux,,
Blend_OTS_WM_A 25+,286975258,krux,,
Fashionistas (NBCU),265272528,adobe,,
Male (NBCU),262498554,adobe,,
A25-49 (NBCU),252543429,adobe,,
Technology Enthusiasts (NBCU),247823122,adobe,,
Fashionistas (NBCU),245927916,adobe,,
Blend_OTS_WM_Female,245903736,krux,,
Investors (NBCU),241306451,adobe,,
Female (NBCU),241031473,adobe,,
Blend_OTS_WM_Homeowners,238502224,krux,,
Male (NBCU),234822086,adobe,,
A25-49 (NBCU),232220102,adobe,,
Blend_OTS_WM_A 25-54,231253559,krux,,
Investors (NBCU),229349142,adobe,,
Technology Enthusiasts (NBCU),228812775,adobe,,
Blend_OTS_WM_Female,228246703,krux,,
Blend_OTS_WM_Likely Donors,226360339,krux,,
Blend_OTS_WM_Money and Market Watchers,224301693,krux,,
Blend_OTS_WM_Investor Or Net Worth $250K-500K,224239350,krux,,
"Custom_Music, Sports & Art Enthusiasts",223680700,krux,,
Blend_OTS_WM_Homeowners,223404108,krux,,
Blend_OTS_WM_Individual Investor,220754559,krux,,
Blend_OTS_WM_Parents,216479439,krux,,
Blend_OTS_WM_A 25-54,215244515,krux,,
Female (NBCU),212661453,adobe,,
Blend_OTS_WM_Likely Donors,212245927,krux,,
Blend_OTS_WM_Money and Market Watchers,210173250,krux,,
Blend_OTS_WM_A 25-49,210097632,krux,,
Blend_OTS_WM_Investor Or Net Worth $250K-500K,209887863,krux,,
Moviegoers (NBCU),208665143,adobe,,
"Custom_Music, Sports & Art Enthusiasts",208104239,krux,,
Blend_OTS_WM_Political Influencers,207207738,krux,,
Blend_OTS_WM_Individual Investor,206739644,krux,,
Blend_OTS_WM_A 18-49,203595487,krux,,
Blend_OTS_WM_Parents,202950218,krux,,
Blend_OTS_WM_Male,199203177,krux,,
Moviegoers (NBCU),197835610,adobe,,
Blend_OTS_WM_A 25-49,196250440,krux,,
Blend_OTS_WM_Home Tech Seekers,196120698,krux,,
Blend_OTS_WM_Political Influencers,193808288,krux,,
Blend_OTS_WM_Tech Enthusiasts,193220461,krux,,
Blend_OTS_WM_Domestic Travelers,191581093,krux,,
Blend_OTS_WM_Food Enthusiasts,189748607,krux,,
Blend_OTS_WM_A 18-49,189528113,krux,,
Blend_OTS_WM_TV Enthusiasts,189317357,krux,,
NCS > Food And Beverage > Crackers Category (total buyers),188890079,liveramp,,
NCS > Health And Beauty > Oral Hygiene Category (total buyers),188889338,liveramp,,
NCS > Household Supplies > Bath Tissue Category (total buyers),187373935,liveramp,,
Blend_OTS_WM_Male,185880143,krux,,
NCS > Food And Beverage > Cookies Category (total buyers),185593666,liveramp,,
Blend_OTS_WM_Frequent Trader,185064078,krux,,
Blend_OTS_WM_Sports Enthusiasts,184543474,krux,,
Blend_OTS_WM_Home Tech Seekers,183985902,krux,,
NCS > Household Supplies > Bar And Liquid Soap Category (total buyers),182737401,liveramp,,
Blend_OTS_WM_Tech Enthusiasts,181110150,krux,,
Blend_OTS_WM_Domestic Travelers,179499891,krux,,
NCS > Household Supplies > Dish Detergent Category (total buyers),179053740,liveramp,,
Blend_OTS_Luxury Traveler,178187795,krux,,
Blend_OTS_WM_A 21-44,178093028,krux,,
Blend_OTS_WM_Food Enthusiasts,177947522,krux,,
Blend_OTS_WM_Health & Fitness Enthusiasts,176680598,krux,,
Blend_OTS_WM_TV Enthusiasts,176678714,krux,,
NCS > Food And Beverage > Crackers Category (total buyers),176300250,liveramp,,
NCS > Health And Beauty > Oral Hygiene Category (total buyers),176300243,liveramp,,
NCS > Household Supplies > Bath Tissue Category (total buyers),174917086,liveramp,,
NCS > Household Supplies > Paper Towel Category (total buyers),174664164,liveramp,,
Blend_OTS_WM_Frequent Trader,173578745,krux,,
NCS > Food And Beverage > Cookies Category (total buyers),173231363,liveramp,,
Blend_OTS_WM_Sports Enthusiasts,171886937,krux,,
Personal Finance,171837225,adobe,,
Blend_OTS_WM_Smartphone Fanatics,170515014,krux,,
NCS > Household Supplies > Bar And Liquid Soap Category (total buyers),170487964,liveramp,,
"AnalyticsIQ > Finance > Household Income > $75,000 - $99,999",169478879,liveramp,,
Blend_OTS_WM_Business Decision Makers,168809172,krux,,
NCS > Household Supplies > Laundry Detergent Category (total buyers),168476825,liveramp,,
RTL NL - Gender & Age - Female 20-34 [1st & 3rd Party - Extend],167525573,lotame,,
NCS > Household Supplies > Dish Detergent Category (total buyers),167070792,liveramp,,
Blend_OTS_Luxury Traveler,166535403,krux,,
Blend_OTS_WM_A 21-44,166182079,krux,,
Blend_OTS_WM_Health & Fitness Enthusiasts,165535701,krux,,
RTL NL - Gender & Age - Female 20-34 [1st & 3rd Party - Extend],165296806,lotame,,
NCS > Food And Beverage > Yogurt Category (total buyers),164376149,liveramp,,
Blend_OTS_WM_HHI <$75k,164325657,krux,,
NCS > Health And Beauty > Underarm Deodorant Category (total buyers),163040944,liveramp,,
NCS > Household Supplies > Paper Towel Category (total buyers),162832414,liveramp,,